irep,clh,resch,klun,kbra,khrt,kskn,kmus,kadi,kspl,kgio,khep,kkid,kres
26,12.450349495206586,0.619856579382988,5.505974083376481,0.6049726917006393,2.989323107043343,0.8620023153774965,0.9449646262246462,0.3458902647117967,1.3029949350794587,2.5370225126085577,2.7153473361848586,7.5520558081514535,3.9406461798780055
27,15.691372620499203,0.6928297762301853,2.5017698384425566,0.46619017929026224,2.325810728793122,0.6152420537241775,0.8740753938934204,0.43850423009007083,1.3754293398443271,2.117861995260637,2.673928180693606,4.937774442863879,4.837645522191306
28,12.515324627231065,0.8015100621534472,4.571446507283154,0.7033969025689274,4.67276349655999,0.9620193040760627,0.8319323891762209,0.5257453827410244,2.592679613269887,3.9623419396779456,2.3948671124359575,11.551837846768,4.17775566999575
29,10.999652913563025,0.6064811225170361,2.9571688661014126,1.1019746270140125,3.891286233153355,0.6830011380814734,1.2445663160304972,0.24489570366469668,1.0994816101568656,3.5897074233933686,4.979290569462005,6.672201016668513,3.671801638199821
30,12.389604971526834,0.6208950067913981,2.313169857890205,0.46949248665812954,4.146350633349913,0.6560844409804746,0.8535549408580672,0.45898808515071743,1.8358964065399601,2.731752997966614,3.340382897246688,15.56162074656467,4.432281048612124
31,17.9247768608215,0.5894381196486106,2.7482961270500894,0.8441784095479569,4.037904696952924,0.6893957155659347,1.1784207828797915,0.48931062439608936,1.5463876584160154,3.1737211751149768,4.023510014207818,12.033202189814387,3.6077240404021804
32,15.345364650680843,0.672824105006949,2.437194077097894,0.5597369125115277,4.220295719637365,0.6472377540737982,0.9512374417076713,0.3903739449597962,2.1266245119830383,3.505057734273929,4.36392684061756,15.010904180924502,4.338559604222495
33,11.984829803872174,0.7023331943150944,2.7562265388506257,0.6188201346874256,3.026078541707858,0.8615380138810772,0.819755498620728,0.37315552410975045,1.1606520368161648,3.3579864529648993,3.3868442081538186,8.785519778376363,3.9189260283156213
34,15.674829990730226,0.6633967224514995,3.410900607912367,0.7815250831907006,4.174565976125308,0.5815259224858709,1.1847368444710502,0.39987324836881327,1.2801371047443921,4.5395721367851385,3.5438366422414886,6.200092240158296,4.149545327574123
35,15.333715047036137,0.6848729048387846,4.148889237568799,0.5564348036529619,3.768199778763866,0.6350317317802006,1.13294823805664,0.2784408683949785,1.7439028296301688,4.321587594382405,5.511139267913616,7.298989772896068,3.6351778035670184
36,11.446899693631398,0.6178005476946736,3.8707231866599012,0.7562604148167905,3.9486152902842737,0.8982442045017809,1.1208574325995808,0.4147975978291271,1.625441147593635,5.619639191844103,3.325389917122732,8.31214848115444,3.979288568650976
37,13.086643062041775,0.6416282863943205,2.2685832285058525,0.9738064314978886,4.176131722428672,0.5049188854035807,0.8750464270935424,0.5246897328388949,1.290338492395308,2.992507449748623,4.2346377418038745,18.666491600832238,4.597133928264803
