run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
055,0.465865,4.13777,1.1675,4.21423,1.3078,0.529306,-0.0853578,0.420129,0.276739,0.0929729,0.0943138,0.151415,0.083942,0.115244,0.0413554
056,0.423218,4.13477,1.11028,4.16745,1.25953,0.535402,-0.0941439,0.331103,0.33289,0.0879577,0.0937327,0.150814,0.082243,0.135362,0.037353
057,0.506154,4.1842,1.25083,4.22775,1.23848,0.509706,0.0371429,0.613594,0.120301,0.0146202,0.069706099999999993,0.0483007,0.0550948,0.100672,0.0410972
058,0.532177,4.11356,1.17988,4.21363,1.27911,0.449187,0.112351,0.470134,0.22167,0.0890615,0.0939341,0.155335,0.0822703,0.12848,0.0404586
059,0.435518,4.10166,1.124,4.19377,1.28119,0.461009,-0.0948742,0.305464,0.27767,0.0836294,0.086411,0.149798,0.0713646,0.107901,0.0381911
060,0.529426,4.13204,1.22096,4.22715,1.29039,0.492058,0.078462,0.447881,0.275637,0.0655303,0.0759551,0.160989,0.0719386,0.136789,0.0386315
061,0.431457,4.09155,1.2132,4.21825,1.35197,0.595656,0.0125541,0.436456,0.188608,0.05632,0.0787433,0.10547,0.0737952,0.12137,0.0421793
062,0.428906,4.16068,1.189,4.22303,1.28351,0.495978,-0.0675138,0.466475,0.24785,0.0832957,0.0892275,0.142405,0.0775891,0.124454,0.041321
063,0.509895,4.12687,1.16318,4.20921,1.306,0.530272,-0.111532,0.418414,0.211148,0.0919807,0.102478,0.107042,0.0728529,0.101728,0.039512
064,0.357507,4.09462,1.16115,4.22298,1.34894,0.441565,-0.0134867,0.410562,0.182118,0.0749392,0.083772,0.108017,0.07282,0.11193,0.0389383
065,0.349364,4.08226,1.14026,4.19404,1.27492,0.483688,-0.0281865,0.435783,0.205331,0.0840475,0.0918533,0.141698,0.0740537,0.119529,0.04129
066,0.616925,4.16293,1.16708,4.19764,1.23303,0.445674,-0.101028,0.443672,0.264234,0.0855914,0.0839594,0.160817,0.0786321,0.12203,0.0383924
067,0.391881,4.10912,1.1618,4.2192,1.30289,0.481549,0.0302423,0.378785,0.173225,0.0578479,0.085369,0.104239,0.0648617,0.101779,0.0400981
068,0.416334,4.10978,1.14711,4.21774,1.27641,0.529812,-0.0346492,0.438521,0.197824,0.0862155,0.090496,0.140396,0.0818504,0.115843,0.0402078
069,0.470898,4.11308,1.15176,4.1907,1.25233,0.496842,0.0157512,0.42831,0.1757,0.0660151,0.0770804,0.125131,0.0683718,0.114928,0.0399264
070,0.398278,4.12602,1.2109,4.25669,1.3387,0.537191,-0.033218,0.443568,0.151803,0.0566825,0.0729657,0.0966578,0.0729458,0.122869,0.0405404
071,0.307318,4.09209,1.15411,4.20131,1.31882,0.412488,0.0624556,0.441602,0.152663,0.0516566,0.0901193,0.0757014,0.0654364,0.103746,0.0400816
072,0.382852,4.07538,1.14724,4.2087,1.31802,0.48166,-0.030977,0.472269,0.272636,0.113802,0.100673,0.163251,0.0916272,0.133202,0.0417224
073,0.48524,4.11803,1.1894,4.20515,1.31158,0.494599,0.0346238,0.416353,0.232061,0.0870607,0.0939655,0.154399,0.0768471,0.119199,0.0390135
074,0.382593,4.12491,1.16061,4.21586,1.29902,0.531431,-0.198834,0.481787,0.212285,0.0755483,0.0854597,0.127299,0.0700362,0.117112,0.0422214
075,0.456433,4.06778,1.11986,4.22176,1.34331,0.421185,-0.0972004,0.44063600000000003,0.2432,0.0950621,0.086121,0.137179,0.0729542,0.107954,0.0398927
076,0.424455,4.12734,1.16821,4.22534,1.34493,0.424667,-0.0800486,0.338284,0.228132,0.07769,0.0837758,0.147874,0.0742524,0.118024,0.0412117
077,0.335301,4.05864,1.15845,4.23278,1.36382,0.499646,-0.021432,0.359035,0.268171,0.0716966,0.090506,0.0870112,0.0680765,0.0984977,0.0387915
078,0.447245,4.14125,1.18615,4.20016,1.28937,0.530181,-0.0635829,0.454274,0.186123,0.0654912,0.0853779,0.110781,0.0703634,0.108272,0.0400753
079,0.474089,4.12407,1.14658,4.2035,1.2475,0.462667,-0.0508893,0.440358,0.194171,0.0380205,0.0913812,0.0961125,0.0696285,0.100961,0.0383565
080,0.423267,4.1097,1.16978,4.19641,1.26237,0.408214,0.0226843,0.534785,0.18241,0.062733,0.0898527,0.101568,0.0634332,0.0935448,0.0372149
081,0.356835,4.14371,1.18062,4.20949,1.28988,0.500981,-0.012043,0.423199,0.254138,0.0697658,0.0782722,0.10862,0.0685895,0.106852,0.0382521
082,0.521932,4.18693,1.16485,4.20885,1.21967,0.473448,-0.145567,0.324982,0.223602,0.0423151,0.0731372,0.132245,0.0672195,0.127334,0.0408408
083,0.49813,4.1387,1.21062,4.20846,1.32758,0.490696,0.0505754,0.36089,0.348464,0.1233,0.0893521,0.172543,0.0864607,0.152075,0.0398519
084,0.402492,4.12012,1.17719,4.2118,1.28361,0.453707,0.0617132,0.425125,0.179172,0.0503088,0.0821829,0.101016,0.0686513,0.107169,0.0388463
085,0.361222,4.07394,1.14988,4.22299,1.30671,0.455414,-0.00873925,0.450661,0.231881,0.0810651,0.0811443,0.116491,0.0675793,0.105563,0.0380866
086,0.538028,4.12158,1.19346,4.2117000000000004,1.28394,0.482109,-0.0582625,0.44657,0.248389,0.0594907,0.0823434,0.123449,0.0684889,0.101282,0.0403444
087,0.400668,4.09315,1.186,4.20149,1.31916,0.558757,0.0365776,0.351352,0.170962,0.0674648,0.0795983,0.119919,0.0781433,0.134232,0.0402015
088,0.426565,4.09487,1.18791,4.2457,1.29715,0.458351,0.0425391,0.472414,0.21521,0.0726853,0.083697,0.121,0.0732361,0.103371,0.0409897
089,0.397197,4.10414,1.1654,4.19713,1.31751,0.515806,-0.0372006,0.457049,0.175461,0.0683626,0.0835348,0.113538,0.0702346,0.106636,0.0389478
090,0.420881,4.12847,1.18697,4.21336,1.29567,0.508726,0.00462393,0.47233,0.120646,0.0483305,0.0902347,0.0970014,0.0746157,0.124819,0.0382078
091,0.437624,4.17646,1.17097,4.21442,1.25849,0.50428,-0.0273874,0.503741,0.172615,0.0423249,0.0827231,0.081795,0.0567934,0.0986409,0.0374405
092,0.448664,4.11391,1.1874,4.2029,1.29164,0.47317,-0.0626492,0.52423,0.14266,0.0612445,0.0773591,0.0980724,0.0651225,0.101544,0.0396719
093,0.353164,4.09509,1.1436,4.25106,1.30407,0.470232,0.0344933,0.371739,0.193369,0.0392589,0.0662214,0.11567,0.062603,0.114849,0.0425924
094,0.481377,4.13161,1.17989,4.20959,1.24973,0.431401,-0.00619078,0.379291,0.286304,0.0610348,0.0726591,0.162042,0.0679419,0.112023,0.0396398
095,0.425535,4.10135,1.17524,4.19438,1.28196,0.459218,0.00252219,0.459133,0.263495,0.0753622,0.077244,0.136238,0.0684045,0.10925,0.0391004
096,0.468262,4.10214,1.15794,4.24302,1.26395,0.425284,0.00908283,0.427058,0.224857,0.0747568,0.0884898,0.108839,0.0726654,0.114956,0.0396931
097,0.458838,4.13439,1.19435,4.21156,1.27054,0.51697,-0.0735526,0.557991,0.200067,0.0780966,0.092375,0.108046,0.0783825,0.115911,0.0405021
098,0.396443,4.07966,1.15455,4.18768,1.33658,0.469481,-0.0228198,0.405431,0.227531,0.0779627,0.0824177,0.132139,0.0748228,0.109609,0.0398883
099,0.382611,4.07353,1.13428,4.2497,1.30871,0.489422,-0.111824,0.426143,0.22877,0.0452702,0.0657106,0.108295,0.0601349,0.0981027,0.0394793
100,0.420762,4.12557,1.16334,4.20841,1.26294,0.529977,0.045953,0.442068,0.209692,0.0421486,0.0844055,0.0817571,0.061375,0.093529,0.0389401
1000,0.481979,4.15187,1.17101,4.20359,1.26353,0.465481,-0.0512057,0.358915,0.185828,0.0452117,0.0739152,0.110633,0.0610197,0.101966,0.039052
101,0.429946,4.11121,1.20448,4.21166,1.31385,0.525869,-0.077619,0.419097,0.315166,0.08254,0.0799977,0.144553,0.075811,0.124482,0.0387529
102,0.502133,4.12017,1.15802,4.20101,1.26831,0.47747,-0.0993456,0.515151,0.290134,0.0956801,0.0954473,0.1737,0.08354,0.140294,0.0392722
103,0.616499,4.1645,1.18814,4.20624,1.25924,0.520252,-0.106614,0.397708,0.186015,0.0463712,0.0731821,0.138487,0.0654477,0.118642,0.042591
104,0.411274,4.07347,1.11038,4.22827,1.31511,0.456446,-0.0784061,0.435278,0.394059,0.132644,0.1189,0.198872,0.105079,0.125436,0.0402395
105,0.512993,4.13658,1.17499,4.20835,1.26996,0.530142,-0.148631,0.502741,0.326792,0.0569343,0.0740824,0.127773,0.0672267,0.107389,0.039067
106,0.403875,4.05252,1.12827,4.22546,1.30776,0.476595,-0.190293,0.382839,0.265827,0.0652033,0.0841366,0.128682,0.0615899,0.0926408,0.0412202
107,0.390698,4.14477,1.20118,4.20844,1.29883,0.536523,-0.0764428,0.473826,0.207557,0.0578871,0.0770276,0.11916,0.0714401,0.124388,0.0396355
108,0.525574,4.12031,1.15514,4.21397,1.28927,0.451533,-0.0507279,0.366684,0.223265,0.0503471,0.0783632,0.119427,0.0652146,0.108385,0.0389596
109,0.522444,4.11356,1.15916,4.20863,1.23552,0.510152,-0.0710068,0.437044,0.261775,0.0539829,0.0617931,0.145523,0.0651695,0.115347,0.0402376
110,0.539312,4.17924,1.22048,4.19956,1.22132,0.481168,-0.040589600000000003,0.434024,0.335009,0.0914481,0.0813832,0.151424,0.0679624,0.115945,0.0418081
111,0.488431,4.1178,1.15156,4.19079,1.29861,0.482589,-0.033187,0.34158,0.204933,0.0789656,0.0982057,0.134636,0.0740845,0.110728,0.0401497
112,0.344639,4.1499,1.17169,4.2266,1.271,0.489663,-0.0979721,0.532797,0.142817,0.0807241,0.093858,0.112971,0.0815211,0.114913,0.0380088
113,0.473786,4.12729,1.18161,4.20178,1.29452,0.478129,-0.10817,0.541008,0.332963,0.0825511,0.0943004,0.135114,0.0764428,0.111647,0.0389001
114,0.408756,4.12783,1.16296,4.22499,1.2905,0.45768,0.0350725,0.377305,0.140117,0.0443114,0.0851579,0.0889194,0.0664984,0.110813,0.0392309
115,0.33827,4.06186,1.12062,4.21761,1.31895,0.468592,-0.0715668,0.408359,0.302485,0.0917321,0.0984341,0.15212,0.0818621,0.112687,0.0389436
116,0.401055,4.11533,1.1792,4.21766,1.28201,0.487177,-0.00370937,0.279028,0.234418,0.0517875,0.0702276,0.115624,0.0630219,0.120838,0.039859
117,0.446026,4.12437,1.2181,4.25365,1.28369,0.532974,-0.00963277,0.493399,0.141974,0.0510868,0.0797236,0.108985,0.0653505,0.120267,0.0404203
118,0.463412,4.11164,1.15868,4.20136,1.2703,0.478885,-0.141539,0.395657,0.166807,0.0368064,0.0736285,0.104986,0.0552257,0.0886498,0.0408808
119,0.465345,4.17155,1.18613,4.20273,1.26861,0.539375,-0.0450218,0.358267,0.18545,0.058249,0.0773603,0.0994628,0.0633481,0.108431,0.0398843
120,0.452065,4.13201,1.19019,4.20264,1.24189,0.520149,-0.0142635,0.371217,0.144877,0.0506931,0.0682112,0.124016,0.0753293,0.138354,0.0420549
121,0.46133,4.12441,1.1949,4.22349,1.28915,0.43604,-0.148196,0.530648,0.202286,0.0767082,0.0856168,0.118544,0.0689477,0.101262,0.0394468
122,0.418043,4.11495,1.18401,4.20302,1.31767,0.444558,-0.0254659,0.388961,0.282802,0.0881797,0.0893557,0.138933,0.0786541,0.11125,0.0395724
123,0.47993,4.1233,1.15797,4.19757,1.25478,0.469926,-0.168333,0.370219,0.231674,0.0641852,0.0673673,0.12097,0.0634076,0.0968515,0.0395287
124,0.340266,4.08518,1.14058,4.20744,1.29016,0.477281,-0.0333805,0.459503,0.204462,0.0462631,0.0770487,0.0848543,0.0624588,0.0934866,0.0398163
125,0.388307,4.1051,1.15051,4.21142,1.29746,0.483177,0.00839539,0.370423,0.273066,0.071007,0.0939713,0.135754,0.0775844,0.114045,0.0396886
126,0.48136,4.11773,1.1432,4.23241,1.26757,0.471651,-0.0829512,0.379802,0.238868,0.0516743,0.0791079,0.12541,0.0676369,0.114076,0.0395608
127,0.422401,4.11317,1.22871,4.23335,1.24898,0.541301,0.110186,0.540368,0.187757,0.0215936,0.0614687,0.0745116,0.0430601,0.0958051,0.0413445
128,0.473829,4.13645,1.18699,4.23845,1.24181,0.532233,-0.0439207,0.529601,0.256578,0.0442717,0.0684751,0.106617,0.0644713,0.101306,0.0410557
129,0.411373,4.13097,1.18167,4.24893,1.23973,0.486865,-0.0601854,0.49975,0.192446,0.0749149,0.0723195,0.110245,0.0705647,0.123159,0.040444
130,0.403102,4.17909,1.20496,4.24103,1.21135,0.502779,0.0301121,0.364711,0.210729,0.0495845,0.0664173,0.0999901,0.05631,0.110075,0.038986
131,0.337519,4.08905,1.11664,4.17006,1.38981,0.434563,-0.100989,0.383915,0.168149,0.0768097,0.094391,0.114053,0.0729692,0.106478,0.0377162
132,0.486851,4.10779,1.18441,4.23778,1.30835,0.424252,0.0557607,0.330052,0.253017,0.083782,0.0917697,0.137333,0.0757239,0.103426,0.0390881
133,0.404092,4.10347,1.1666,4.22866,1.27785,0.480977,-0.016338,0.371038,0.254573,0.058362,0.0783108,0.11777,0.0655211,0.0982448,0.0411967
134,0.529068,4.15374,1.18098,4.19632,1.25464,0.548677,-0.174114,0.333691,0.275488,0.0619528,0.0911597,0.1507,0.0768731,0.117539,0.0390357
135,0.582602,4.15369,1.1725,4.20475,1.24114,0.47603,-0.0200502,0.506516,0.264264,0.0508436,0.0750636,0.147077,0.0654292,0.108078,0.0451428
136,0.429051,4.10454,1.16892,4.20699,1.31465,0.450935,-0.0240469,0.368597,0.152292,0.0475027,0.07481,0.0884985,0.0627787,0.0976611,0.0389588
137,0.386446,4.11129,1.23386,4.20856,1.32679,0.486403,-0.0341097,0.521942,0.191486,0.0655578,0.085286,0.0970634,0.0722236,0.111843,0.040635
