run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
048,0.374637,4.06172,1.14289,4.2096,1.28593,0.488516,-0.0116938,0.496497,0.206372,0.0607375,0.0750183,0.119873,0.0770546,0.116131,0.0403203
049,0.469791,4.10115,1.15785,4.217,1.24671,0.434655,-0.0594781,0.333604,0.208428,0.0551087,0.0844361,0.0881101,0.0700911,0.105167,0.0388237
050,0.536594,4.1275,1.17067,4.192,1.27817,0.466006,0.0799556,0.4766,0.276166,0.0787138,0.0852878,0.121311,0.0720897,0.101653,0.039163
051,0.51705,4.12279,1.19169,4.20327,1.26477,0.467496,0.0159431,0.356915,0.252407,0.0690754,0.079203,0.131494,0.0612204,0.100742,0.0413688
052,0.457474,4.16381,1.18806,4.21834,1.2619,0.544139,0.0548088,0.579937,0.143451,0.0744842,0.0751578,0.0991643,0.0713753,0.120687,0.0423216
053,0.413326,4.08284,1.15041,4.20482,1.27449,0.473307,0.0292842,0.494479,0.22058,0.0405916,0.0735518,0.0800224,0.0590031,0.0938852,0.0385159
054,0.463996,4.12879,1.19312,4.17931,1.28857,0.508925,-0.0157967,0.446984,0.199777,0.0553371,0.084164,0.118135,0.0687955,0.111912,0.0421466
055,0.465845,4.13776,1.16743,4.21419,1.30769,0.529311,-0.0854183,0.420125,0.276842,0.0929026,0.0942539,0.151428,0.0839056,0.115232,0.0413544
056,0.423218,4.13477,1.11028,4.16745,1.25953,0.535402,-0.0941439,0.331103,0.33289,0.0879577,0.0937327,0.150814,0.082243,0.135362,0.037353
057,0.506154,4.1842,1.25083,4.22775,1.23848,0.509706,0.0371428,0.613594,0.120301,0.0146202,0.069706099999999993,0.0483007,0.0550948,0.100672,0.0410972
058,0.532184,4.11358,1.17993,4.2137,1.27922,0.449263,0.112376,0.470265,0.221703,0.0890699,0.0939455,0.155288,0.0822607,0.128443,0.040459
059,0.435519,4.10166,1.124,4.19377,1.28119,0.461009,-0.0948739,0.305463,0.27767,0.0836296,0.0864109,0.149798,0.0713646,0.107901,0.0381911
060,0.529534,4.13209,1.22095,4.22711,1.29038,0.491976,0.0785027,0.447888,0.275586,0.0655152,0.0759249,0.160935,0.0719365,0.136771,0.0386318
061,0.431457,4.09155,1.2132,4.21825,1.35197,0.595656,0.0125541,0.436456,0.188608,0.05632,0.0787433,0.10547,0.0737952,0.12137,0.0421793
062,0.429168,4.16066,1.189,4.22302,1.2835,0.495948,-0.0675662,0.466524,0.247889,0.0833457,0.089205,0.142444,0.077576,0.124454,0.0413206
063,0.509894,4.12687,1.16318,4.20921,1.306,0.530273,-0.111533,0.418415,0.211148,0.0919805,0.102478,0.107041,0.0728527,0.101728,0.039512
064,0.357468,4.09458,1.16113,4.223,1.3489,0.441622,-0.0134775,0.410579,0.18212,0.0749594,0.083785,0.10801,0.0728255,0.11193,0.038938
065,0.349233,4.08221,1.14026,4.19404,1.27501,0.483949,-0.0280676,0.4357,0.205283,0.0840516,0.0918685,0.141627,0.0740612,0.119549,0.0412884
066,0.616925,4.16293,1.16708,4.19764,1.23303,0.445674,-0.101027,0.443672,0.264234,0.0855915,0.0839594,0.160817,0.0786321,0.12203,0.0383924
067,0.39188,4.10912,1.16178,4.2192,1.30287,0.481561,0.0301981,0.37874,0.173224,0.0578534,0.0853786,0.10424,0.0648768,0.101792,0.0400982
068,0.416334,4.10978,1.14711,4.21774,1.27641,0.529812,-0.0346492,0.438521,0.197824,0.0862155,0.090496,0.140396,0.0818504,0.115843,0.0402078
069,0.470898,4.11308,1.15176,4.1907,1.25233,0.496842,0.0157509,0.42831,0.1757,0.0660155,0.0770806,0.125132,0.0683722,0.114928,0.0399264
070,0.398278,4.12602,1.2109,4.25669,1.3387,0.537191,-0.033218,0.443568,0.151803,0.0566825,0.0729657,0.0966578,0.0729458,0.122869,0.0405404
071,0.307368,4.09212,1.15415,4.20132,1.31881,0.412521,0.062477,0.44168,0.152677,0.0516454,0.0901245,0.0756791,0.0654386,0.103766,0.0400809
072,0.382852,4.07538,1.14724,4.2087,1.31802,0.48166,-0.0309771,0.472269,0.272636,0.113802,0.100673,0.163251,0.0916272,0.133202,0.0417224
073,0.48524,4.11803,1.1894,4.20515,1.31158,0.494599,0.0346238,0.416353,0.232061,0.0870607,0.0939655,0.154399,0.0768471,0.119199,0.0390135
074,0.382593,4.12491,1.16061,4.21586,1.29902,0.531431,-0.198834,0.481787,0.212285,0.0755483,0.0854597,0.127299,0.0700362,0.117112,0.0422214
075,0.456433,4.06778,1.11986,4.22176,1.34331,0.421185,-0.0972008,0.44063600000000003,0.2432,0.0950621,0.086121,0.137179,0.0729542,0.107954,0.0398927
076,0.42435,4.12733,1.1682,4.22533,1.34499,0.424717,-0.0801278,0.338294,0.22816,0.0777009,0.0838,0.14785,0.0742618,0.118002,0.0412114
077,0.335301,4.05864,1.15845,4.23278,1.36382,0.499646,-0.021432,0.359035,0.268171,0.0716966,0.090506,0.0870112,0.0680765,0.0984977,0.0387915
078,0.447245,4.14125,1.18615,4.20016,1.28937,0.530181,-0.0635829,0.454274,0.186123,0.0654912,0.0853779,0.110781,0.0703634,0.108272,0.0400753
079,0.474089,4.12407,1.14658,4.2035,1.2475,0.462667,-0.0508893,0.440358,0.194171,0.0380205,0.0913812,0.0961125,0.0696285,0.100961,0.0383565
080,0.423267,4.1097,1.16978,4.19641,1.26237,0.408214,0.0226843,0.534785,0.18241,0.062733,0.0898527,0.101568,0.0634332,0.0935448,0.0372149
081,0.35664,4.14374,1.18064,4.20952,1.28999,0.500978,-0.01205,0.423244,0.254037,0.0697648,0.0782966,0.108617,0.0686046,0.10687,0.0382519
082,0.521932,4.18693,1.16485,4.20885,1.21967,0.473448,-0.145567,0.324982,0.223602,0.0423151,0.0731372,0.132245,0.0672195,0.127334,0.0408408
083,0.498239,4.13856,1.2106,4.20843,1.32771,0.490606,0.0500641,0.361052,0.348584,0.123353,0.0893695,0.172508,0.0864762,0.152031,0.0398554
084,0.402492,4.12012,1.17719,4.2118,1.28361,0.453707,0.0617133,0.425125,0.179172,0.0503087,0.0821828,0.101016,0.0686513,0.107169,0.0388463
085,0.361222,4.07394,1.14988,4.22299,1.30671,0.455414,-0.00873924,0.450661,0.231881,0.0810651,0.0811443,0.116491,0.0675793,0.105563,0.0380866
086,0.538028,4.12158,1.19346,4.2117000000000004,1.28394,0.482109,-0.0582625,0.44657,0.248389,0.0594907,0.0823434,0.123449,0.0684889,0.101282,0.0403444
087,0.400668,4.09315,1.186,4.20149,1.31916,0.558757,0.0365776,0.351352,0.170962,0.0674648,0.0795983,0.119919,0.0781433,0.134232,0.0402015
088,0.426565,4.09487,1.18791,4.2457,1.29715,0.458351,0.0425391,0.472414,0.21521,0.0726853,0.083697,0.121,0.0732361,0.103371,0.0409897
089,0.397197,4.10414,1.1654,4.19713,1.31751,0.515806,-0.0372005,0.457049,0.175461,0.0683626,0.0835348,0.113538,0.0702346,0.106636,0.0389478
090,0.420881,4.12847,1.18697,4.21336,1.29567,0.508726,0.00462392,0.47233,0.120646,0.0483305,0.0902347,0.0970014,0.0746157,0.124819,0.0382078
091,0.437529,4.17644,1.17098,4.21441,1.25862,0.504176,-0.0275611,0.503576,0.17265,0.0423491,0.082747,0.0817923,0.0567931,0.0985928,0.0374405
092,0.448664,4.11391,1.1874,4.2029,1.29164,0.47317,-0.0626492,0.52423,0.14266,0.0612445,0.0773591,0.0980724,0.0651225,0.101544,0.0396719
093,0.353164,4.09509,1.1436,4.25106,1.30407,0.470232,0.0344933,0.371739,0.193369,0.0392589,0.0662214,0.11567,0.062603,0.114849,0.0425924
094,0.481377,4.13161,1.17989,4.20959,1.24973,0.431401,-0.00619078,0.379291,0.286304,0.0610348,0.0726591,0.162042,0.0679419,0.112023,0.0396398
095,0.425535,4.10135,1.17524,4.19438,1.28196,0.459218,0.00252228,0.459133,0.263494,0.0753622,0.0772439,0.136238,0.0684045,0.10925,0.0391004
096,0.468283,4.10217,1.15793,4.24305,1.26388,0.425269,0.00915049,0.427236,0.224866,0.0747627,0.088491,0.108845,0.0726724,0.114982,0.039691
097,0.458838,4.13439,1.19435,4.21156,1.27054,0.51697,-0.0735526,0.557991,0.200067,0.0780966,0.092375,0.108046,0.0783825,0.115911,0.0405021
098,0.396442,4.07966,1.15455,4.18768,1.33658,0.469481,-0.0228199,0.405432,0.227531,0.0779627,0.0824177,0.13214,0.0748228,0.109609,0.0398883
099,0.382611,4.07353,1.13428,4.2497,1.30871,0.489423,-0.111826,0.426145,0.22877,0.04527,0.0657105,0.108295,0.0601347,0.0981025,0.0394793
100,0.420762,4.12557,1.16334,4.20841,1.26294,0.529977,0.0459529,0.442068,0.209692,0.0421486,0.0844055,0.081757,0.061375,0.093529,0.0389401
1000,0.481979,4.15187,1.17101,4.20359,1.26353,0.465481,-0.0512057,0.358915,0.185828,0.0452117,0.0739153,0.110633,0.0610197,0.101966,0.039052
101,0.42994,4.11122,1.20448,4.21166,1.31385,0.525859,-0.0775978,0.419109,0.31514,0.0825315,0.0799946,0.144551,0.0758104,0.124486,0.038753
102,0.502134,4.12017,1.15802,4.20101,1.26831,0.47747,-0.0993467,0.515147,0.290132,0.0956789,0.0954464,0.173699,0.083539,0.140293,0.0392722
103,0.616499,4.1645,1.18814,4.20624,1.25924,0.520252,-0.106613,0.397709,0.186016,0.0463712,0.073182,0.138487,0.0654477,0.118642,0.042591
104,0.411275,4.07347,1.11038,4.22827,1.31511,0.456446,-0.0784061,0.435278,0.39406,0.132644,0.1189,0.198872,0.105079,0.125436,0.0402395
105,0.51348,4.13665,1.17499,4.20837,1.27006,0.530135,-0.148797,0.503,0.326856,0.0569418,0.074063,0.127871,0.0672026,0.10738,0.0390688
106,0.403876,4.05252,1.12827,4.22546,1.30776,0.476595,-0.190296,0.382842,0.265826,0.065203,0.0841368,0.128683,0.0615899,0.0926406,0.0412203
107,0.390766,4.14477,1.20118,4.20846,1.29885,0.536463,-0.0764641,0.47371,0.207576,0.0578637,0.077009,0.119183,0.0714252,0.124382,0.0396359
108,0.525574,4.12031,1.15514,4.21397,1.28927,0.451533,-0.0507279,0.366684,0.223265,0.0503471,0.0783632,0.119427,0.0652146,0.108385,0.0389596
109,0.522444,4.11356,1.15916,4.20863,1.23552,0.510153,-0.0710067,0.437044,0.261775,0.0539828,0.0617931,0.145523,0.0651695,0.115347,0.0402376
110,0.539312,4.17924,1.22048,4.19956,1.22132,0.481168,-0.0405897,0.434024,0.335009,0.0914481,0.0813832,0.151424,0.0679624,0.115945,0.0418081
111,0.488431,4.1178,1.15156,4.19079,1.29861,0.482589,-0.033187,0.34158,0.204933,0.0789656,0.0982057,0.134636,0.0740845,0.110728,0.0401497
